Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip
1904,937.078,806.598,894.853,0.435758,-0.572194,-0.694773,0.0146345,0.285425,0.250581,0.0715222,0.0438993,322,45
1903,946.415,811.722,895.301,-0.871366,0.355153,0.338508,0.0124134,0.211507,0.24941,0.0527519,0.0399322,292,70
1902,944.281,808.866,894.022,0.00557698,-0.910742,0.412939,0.0156561,0.295588,0.19558,0.057811,0.048489,179,65
1901,946.617,811.846,895.24,-0.447629,0.797254,-0.404987,0.018146,0.54189,0.591999,0.320799,0.133692,150,66
1898,952.885,821.256,893.769,-0.739111,-0.662486,0.121765,0.0187658,0.659927,1.23804,0.817014,0.45672,228,83
1897,949.128,814.58,893.609,-0.55399,0.707239,-0.439213,0.0136436,0.191319,0.215119,0.0411563,0.0250778,141,63
1896,946.632,811.111,894.035,0.832312,-0.309027,-0.460172,0.0174685,0.247419,0.300953,0.0744613,0.0475856,290,62
1895,942.424,808.77,897.721,-0.309716,0.759501,-0.572043,0.0252119,0.811283,0.682354,0.553582,0.311268,157,55
1892,938.075,808.21,893.552,-0.0552259,-0.863232,-0.501777,0.0288772,0.57161,0.473696,0.270769,0.0702591,3,59
1891,950.691,816.871,893.567,-0.965508,0.256497,0.0447674,0.0231032,0.409494,0.514676,0.210757,0.102941,284,87
1888,952.146,822.219,897.347,-0.853174,0.521601,0.00511522,0.025284,1.13647,0.808971,0.919369,0.604219,301,89
1887,944.137,810.198,896.371,-0.0745849,-0.866845,0.492967,0.0226183,1.06113,0.635694,0.674557,0.441628,184,60
1886,945.757,810.186,894.049,0.676523,-0.595828,-0.432787,0.0149169,0.487625,0.396963,0.193569,0.106616,311,64
1884,952.637,820.684,894.897,-0.842665,-0.538407,0.00574454,0.0260177,0.962632,0.919082,0.884738,0.441001,237,89
1882,949.49,814.693,895.035,-0.484492,0.765335,-0.423709,0.0108355,0.242801,0.197783,0.0480219,0.0285649,147,64
1881,952.863,821.64,893.576,-0.568264,0.820853,-0.0572412,0.0155573,0.440086,0.678543,0.298617,0.160209,145,86
1880,938.849,807.552,894.185,-0.210231,-0.924028,-0.319334,0.0166681,0.771643,0.435002,0.335666,0.15277,12,71
1879,945.294,810.227,895.001,-0.158908,-0.93956,0.303274,0.0128442,0.231776,0.260623,0.0604062,0.052044,189,72
1878,949.129,814.624,895.128,-0.446998,0.502172,-0.740281,0.0148238,0.304246,0.321952,0.0979526,0.065531,138,42
1876,940.848,807.649,897.68,0.352091,-0.844648,0.403239,0.0323156,0.919298,0.900608,0.827927,0.414854,157,66
1875,945.613,810.201,894.782,0.473032,-0.879769,0.0474089,0.0123304,0.164245,0.253521,0.0416395,0.0356241,151,87
1874,950.378,816.161,893.531,-0.836166,0.468108,-0.285834,0.021623,0.458114,0.531784,0.243618,0.115111,119,73
1872,941.648,807.819,896.663,-0.433127,0.532854,-0.726958,0.0352693,2.72159,0.961991,2.61814,1.31739,140,43
1871,950.376,816.936,894.692,-0.678578,0.517872,-0.520903,0.0150313,0.185514,0.243718,0.0452132,0.0285846,127,58
1867,952.368,820.048,894.635,0.374075,-0.874677,-0.308234,0.0149959,0.211533,0.241809,0.0511506,0.0287921,336,72
1866,940.893,808.964,893.866,-0.557521,-0.81794,0.141931,0.018001,0.752432,1.25119,0.941437,0.55107,214,81
1864,950.647,818.015,894.408,-0.639414,0.596532,-0.485077,0.012984,0.409052,0.740343,0.302839,0.192497,133,60
1863,952.337,819.965,894.202,-0.560459,0.394361,-0.728262,0.0156446,0.304541,0.269557,0.0820911,0.04777,125,43
1861,950.167,818.496,897.082,0.676575,-0.483556,-0.555356,0.0144951,0.832555,0.501494,0.417521,0.295603,305,56
1860,944.502,809.051,893.357,-0.468856,0.637464,-0.611403,0.0141948,0.494159,0.213507,0.105506,0.0737291,143,52
1858,952.002,819.334,893.897,-0.612507,0.583763,-0.532969,0.0300543,0.567444,0.789663,0.448089,0.180307,133,57
1857,939.89,806.882,897.661,0.175546,-0.984149,-0.0251881,0.0225652,0.520837,0.656885,0.34213,0.141442,349,88
1856,937.403,806.29,897.874,0.433858,-0.787072,0.438502,0.0220702,0.60076,0.285652,0.171608,0.139771,151,63
1854,951.098,817.984,893.513,-0.314758,0.93816,-0.144168,0.0163163,0.20574,0.360882,0.0742478,0.0436992,161,81
1852,940.982,807.167,896.957,0.445053,-0.893644,-0.0576881,0.0161253,0.234313,0.204994,0.0480326,0.0362116,333,86
1851,942.676,809.14,897.201,0.787924,-0.587343,-0.184941,0.0227758,0.27447,0.226935,0.0622867,0.0365733,306,79
1850,953.269,823.572,897.409,-0.851125,0.524294,-0.0264882,0.0246555,0.69826,1.08088,0.754738,0.322526,121,88
1849,943.224,808.747,894.345,-0.713015,-0.700655,-0.026322,0.0278323,1.27818,2.56357,3.27669,1.53086,45,88
1848,948.368,813.926,894.7,-0.452965,0.734237,-0.505686,0.0141621,0.376898,0.456764,0.172153,0.0724119,148,59
1847,941.357,808.936,894.6,-0.19033,0.811205,-0.552921,0.0116616,0.293317,0.39163,0.114872,0.0540884,166,56
1845,951.694,818.927,893.526,0.642101,-0.490733,-0.588972,0.0124944,0.623038,0.421454,0.262582,0.135409,307,53
1842,947.702,812.49,893.783,-0.647579,0.696618,-0.308811,0.0146187,0.427302,0.1705,0.0728549,0.0581494,137,72
1841,951.976,819.163,893.227,0.659173,-0.508399,-0.554095,0.00829661,0.305154,0.271381,0.082813,0.0610867,307,56
1839,952.171,819.376,893.212,0.572073,-0.768297,-0.287146,0.0114093,0.365201,0.184981,0.0675553,0.048245,323,73
1836,941.555,808.952,894.388,-0.544257,-0.817902,-0.186601,0.0181896,0.299447,0.4452,0.133314,0.103644,33,79
1835,944.951,809.634,894.341,-0.377292,0.692892,-0.614453,0.0117792,0.225649,0.191631,0.0432415,0.0300811,151,52
1834,940.331,806.764,896.22,-0.230176,0.785902,-0.573914,0.0143904,0.437329,0.299523,0.13099,0.101578,163,54
1832,937.235,807.767,893.646,0.722018,-0.605588,-0.334595,0.0323173,0.976945,0.65599,0.640865,0.367716,309,70
1924,950.428,818.999,896.932,0.674936,-0.735444,0.0598649,0.020933,0.796482,0.575739,0.458566,0.245526,137,86
1830,942.425,808.714,897.325,0.206736,-0.755353,-0.621853,0.0161149,0.174666,0.343493,0.0599966,0.0388606,344,51
1827,937.421,807.725,894.066,-0.0377944,-0.738744,-0.672926,0.0144863,0.259237,0.252144,0.0653649,0.0539656,2,47
1824,945.789,810.553,895.11,-0.580221,0.728573,-0.36404,0.013084,0.193475,0.246809,0.0477514,0.0256099,141,68
1823,941.067,806.917,896.283,0.188455,-0.959431,0.209708,0.0162523,0.26204,0.146379,0.038357,0.030168,168,77
1820,951.815,821.384,896.653,-0.769997,0.515369,0.376164,0.00542023,0.709883,0.310877,0.220686,0.140287,303,67
1819,953.008,820.713,893.655,-0.970332,0.0281103,0.240138,0.0143788,0.133859,0.290732,0.0389171,0.0300859,271,76
1818,951.508,820.776,897.835,-0.930619,0.342761,-0.128309,0.0157542,0.984206,0.448343,0.441262,0.2811,110,82
1817,948.405,815.929,897.934,0.736845,-0.488709,-0.467143,0.0162028,0.30418,0.158134,0.0481013,0.0373919,303,62
1812,945.002,810.87,896.642,0.134253,-0.822901,0.552096,0.0195567,0.480587,0.595156,0.286024,0.125578,170,56
1810,950.52,816.37,893.7,-0.310771,0.848268,-0.428792,0.0118038,0.272126,0.220945,0.060125,0.0284855,159,64
1809,947.609,812.475,894.585,-0.843329,-0.19989,-0.498839,0.018523,0.478823,0.545778,0.261331,0.149666,76,60
1808,947.804,813.3,894.972,0.685171,-0.526156,-0.503688,0.0129015,0.373119,0.325402,0.121414,0.0874225,307,59
1807,939.305,807.891,893.591,-0.349765,-0.929635,-0.115941,0.0180851,0.218566,0.223926,0.0489427,0.0420481,20,83
1806,950.664,817.579,894.282,-0.874233,-0.0662105,-0.480972,0.0140936,0.488069,0.55671,0.271713,0.132387,85,61
