Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip,Set
1900,952.358,820.229,895.235,0.237331,-0.920123,0.311524,0.0278908,0.91706,0.742844,0.681233,0.262665,165,71,3
1169,949.733,817.504,897.652,-0.625063,0.356256,-0.694535,0.0277678,1.17151,0.539692,0.632256,0.24861,119,46,2
1674,939.452,806.995,894.507,0.322911,-0.721748,-0.612216,0.0203819,0.489076,0.998084,0.488139,0.358484,335,52,1
1949,941.767,808.952,893.673,0.0101342,-0.876017,0.482174,0.0197917,0.528506,0.72382,0.382543,0.209863,179,61,3
2029,944.136,810.018,895.909,-0.0707265,-0.99746,0.00848967,0.0257732,0.763326,0.693751,0.529558,0.273994,184,89,3
1764,950.365,818.777,895.159,-0.559953,0.36089,-0.745795,0.02535,2.06105,1.78939,3.68802,2.01942,122,41,2
1907,940.218,807.005,897.003,-0.526494,0.777939,-0.342951,0.0194445,0.681738,0.671332,0.457673,0.21466,145,69,
1505,944.565,810.977,897.376,-0.720779,0.251175,-0.646056,0.0205708,0.602613,0.574347,0.346109,0.229444,109,49,2
1932,942.417,808.722,897.281,0.643067,-0.492736,-0.586239,0.0162272,1.92056,1.00826,1.93642,0.809374,307,54,1
1947,946.661,813.215,897.71,-0.575515,0.654754,-0.48998,0.0240511,0.800461,0.663851,0.531387,0.233775,138,60,2
1651,946.739,812.614,895.951,-0.480774,0.471738,-0.739134,0.0235332,1.65873,0.980945,1.62712,0.982991,134,42,2
2086,946.186,810.975,894.945,-0.651844,0.603425,-0.459323,0.0304165,1.48661,1.17897,1.75267,0.659162,132,62,2
2070,941.336,808.353,895.346,0.650394,-0.483278,-0.586029,0.0340552,6.62709,5.45333,36.1397,11.6195,306,54,1
1998,945.824,810.797,895.247,-0.834073,0.274083,-0.47875,0.0211673,0.420384,0.845311,0.355355,0.208236,108,61,2
1683,947.626,812.851,894.548,-0.600491,0.350354,-0.718793,0.021586,0.661051,0.85116,0.56266,0.275955,120,44,2
1126,952.402,820.826,895.43,-0.812184,-0.295034,-0.503302,0.0222739,0.972607,0.660223,0.642137,0.273087,70,59,
1395,951.946,819.855,894.912,-0.563326,0.308653,-0.766418,0.0166765,0.735616,0.677306,0.498237,0.26463,118,39,2
1917,951.797,819.507,894.756,-0.479081,0.708194,-0.518596,0.0180287,0.737139,0.61797,0.45553,0.23276,145,58,2
2013,950.673,819.429,897.707,0.701754,-0.485744,-0.521147,0.0203641,4.46507,0.872882,3.89748,2.02819,304,58,1
1614,937.104,806.248,895.186,-0.0613476,-0.682655,-0.728161,0.0144831,0.506946,0.692279,0.350948,0.241643,5,43,
1877,942.779,808.865,895.385,0.622525,-0.49679,-0.604701,0.010117,0.566463,0.872545,0.494265,0.27867,308,52,1
2035,947.815,813.911,896.316,-0.51352,0.541608,-0.66555,0.0320925,2.09723,2.12089,4.44798,2.37187,136,48,2
1922,946.713,811.269,893.413,-0.447065,0.759327,-0.472817,0.0162511,0.865207,0.488347,0.422521,0.237079,149,61,
1777,952.548,821.714,894.84,-0.81497,-0.564501,-0.131007,0.0185455,0.858268,1.02038,0.875761,0.43924,55,82,4
1560,941.07,807.406,897.286,0.195282,-0.867401,0.45769,0.0161527,0.500609,0.689569,0.345204,0.209764,167,62,3
1982,946.601,812.688,896.857,-0.635568,0.362972,-0.681399,0.0186934,0.905293,0.828419,0.749962,0.482566,119,47,2
1486,946.081,811.558,895.938,-0.740151,0.0239079,-0.672015,0.015054,0.470734,0.724748,0.341163,0.258237,91,47,2
